"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"1" -152.25 60.75 "Control" 50 0 0 15 0 434 0 0 146 2 7.34 0 0 0 0.2
"2" -149.75 65.75 "Control" 32 0 0 22 1 251 2 0 177 4 4.07 0 0 0 2.75
"3" -131.75 61.25 "Control" 0 0 0 28 0 0 0 0 479 0 0.03 0 0 0.28 0.09
"4" -106.25 59.75 "Control" 0 0 0 57 0 0 0 0 329 0 2.96 0 0 0.01 0.49
"5" -90.75 49.75 "Control" 49 1 0 27 2 291 2 0 214 8 1.72 0.43 0 0.17 0.98
"6" -84.25 49.75 "Control" 53 0 0 33 2 286 0 0 197 6 0.13 0.03 0 0.38 0.12
"7" -84.25 53.75 "Control" 24 0 0 23 0 153 0 0 188 0 0.59 0.02 0 0.17 0.24
"8" -82.25 50.75 "Control" 24 2 0 21 0 147 3 0 151 2 0.13 0.1 0 0.46 0.16
"9" 34.25 64.75 "Control" 21 0 0 14 0 234 0 0 169 0 0.17 0 0 0.3 0.09
"10" 36.75 66.25 "Control" 26 0 0 19 0 220 0 0 153 1 6.76 0 0 0 0.48
"11" 36.75 67.25 "Control" 13 0 0 13 0 174 0 0 151 2 2.88 0 0 0.16 0.24
"12" 38.25 57.75 "Control" 3 1 34 17 0 16 1 248 114 0 0.03 0.06 0.06 0.64 0.1
"13" 46.25 57.75 "Control" 17 5 0 18 0 173 10 0 154 0 0.22 7.23 0 0.17 0.23
"14" 47.75 61.75 "Control" 27 1 0 27 1 159 2 0 181 8 0.2 4.03 0 0.24 0.51
"15" 52.25 65.75 "Control" 23 0 0 22 0 175 0 0 198 1 1.44 0 0 0.03 0.11
"16" 65.75 58.75 "Control" 10 0 0 20 0 103 10 0 162 1 4.36 0 0 0.11 0
"17" 72.75 58.75 "Control" 10 0 0 21 0 92 14 0 169 4 0.07 0.67 0 0.77 0.16
"18" 111.25 50.25 "Control" 87 2 0 48 16 455 2 0 201 20 0.85 0.01 0 0.26 0.44
"19" 138.75 51.75 "Control" 60 1 0 63 7 341 1 0 284 14 0.4 0 0 0.19 0.2
"20" 140.25 49.75 "Control" 78 1 0 43 12 429 1 0 203 17 0.31 0.01 0 0.35 0.15
"21" 142.75 49.25 "Control" 74 0 0 40 6 348 0 0 210 10 2.86 0 0 0 0.97
"22" -142.75 63.25 "Control" 54 0 0 23 4 529 2 0 280 101 0.28 0.03 0 0.4 0.18
"23" -102.75 56.25 "Control" 48 0 0 40 4 294 0 0 234 5 0.16 0.03 0 0.42 0.14
"24" -85.25 51.25 "Control" 52 3 0 50 2 174 3 0 156 2 0.12 0.06 0 0.48 0.13
"25" -82.25 54.75 "Control" 46 0 0 28 0 231 0 0 165 1 2.27 0 0 0.09 0
"26" 12.25 63.25 "Control" 0 0 0 17 0 0 0 0 136 0 0.12 0 0 0.3 0.14
"27" 33.25 63.25 "Control" 28 0 0 19 0 299 0 0 221 3 0.44 0.01 0 0.34 0.23
"28" 60.25 55.75 "Control" 36 9 0 32 1 147 21 0 136 1 0.01 9.26 0 0.08 0.21
"29" 82.75 58.75 "Control" 78 1 0 51 11 423 1 0 253 17 0.67 0 0 0.14 0.26
"30" 87.25 60.25 "Control" 4 6 0 66 26 20 7 0 240 46 0.07 0.39 0 0.55 0.87
"31" 108.75 51.25 "Control" 21 1 0 35 1 124 2 0 191 1 0.24 0.37 0 0.72 0.62
